month,town,flat_type,addresses,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,searchval,X,Y,lat,long,distanceWithMrt,distanceWithRaffles,distanceWithGdPri
2020-08,ANG MO KIO,3 ROOM,331 ANG MO KIO AVE 1,01 TO 03,68,New Generation,1981,59 years 06 months,274000,TECK GHEE VIEW,29941.74561,38240.88157,1.362111407,103.8507665,881.0033753,8703.096482,1041.995726
2020-08,ANG MO KIO,3 ROOM,333 ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,59 years 06 months,315000,TECK GHEE VIEW,30045.48338,38155.8668,1.361342556,103.8516986,985.4905776,8617.203081,1048.316784
2020-08,ANG MO KIO,3 ROOM,307C ANG MO KIO AVE 1,16 TO 18,70,Model A,2012,91 years 01 month,5.00E+05,TECK GHEE VISTA,29318.86604,38622.31673,1.365561004,103.8451695,689.4791208,9113.711978,1199.433818
2020-08,ANG MO KIO,3 ROOM,331 ANG MO KIO AVE 1,01 TO 03,82,New Generation,1981,59 years 05 months,315000,TECK GHEE VIEW,29941.74561,38240.88157,1.362111407,103.8507665,881.0033753,8703.096482,1041.995726
2020-08,ANG MO KIO,3 ROOM,471 ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,58 years,235000,TECK GHEE HORIZON,30602.40075,38390.67192,1.363466006,103.8567029,1072.597799,8872.72856,1542.266971
2020-08,ANG MO KIO,3 ROOM,536 ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,58 years 07 months,260000,CHENG SAN VIEW,30312.77352,39607.85348,1.374473785,103.8541005,714.890059,10083.19816,1826.515934
2020-08,ANG MO KIO,3 ROOM,550 ANG MO KIO AVE 10,01 TO 03,68,New Generation,1981,59 years 05 months,250000,HDB-ANG MO KIO,30769.54658,39512.09,1.373607695,103.8582049,1045.625977,10010.66955,1836.557769
2020-08,ANG MO KIO,3 ROOM,405 ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,57 years 10 months,255000,HDB-ANG MO KIO,30279.94148,38182.02747,1.361579127,103.8538054,1043.165184,8647.428355,1243.410529
2020-08,ANG MO KIO,3 ROOM,577 ANG MO KIO AVE 10,10 TO 12,82,New Generation,1980,58 years 05 months,310000,CHENG SAN COURT,30507.95855,39310.80046,1.371787328,103.8558544,730.4780628,9792.073298,2100.284211
2020-08,ANG MO KIO,3 ROOM,558 ANG MO KIO AVE 10,01 TO 03,67,New Generation,1980,58 years 06 months,258000,HDB-ANG MO KIO,30879.39868,39249.85585,1.371236133,103.859192,1081.90563,9756.501907,1735.194497
2020-08,ANG MO KIO,3 ROOM,559 ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,58 years 05 months,261000,CHENG SAN PLACE,30730.76021,39223.53457,1.370998107,103.8578564,931.0806752,9718.096454,1885.848306
2020-08,ANG MO KIO,3 ROOM,577 ANG MO KIO AVE 10,01 TO 03,67,New Generation,1980,58 years 06 months,249000,CHENG SAN COURT,30507.95855,39310.80046,1.371787328,103.8558544,730.4780628,9792.073298,2100.284211
2020-08,ANG MO KIO,3 ROOM,445 ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,58 years,262000,HDB-ANG MO KIO,30492.79732,38779.23541,1.366980045,103.8557181,760.2641656,9256.846104,1811.649513
2020-08,ANG MO KIO,3 ROOM,559 ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,58 years 06 months,230000,CHENG SAN PLACE,30730.76021,39223.53457,1.370998107,103.8578564,931.0806752,9718.096454,1885.848306
2020-08,ANG MO KIO,3 ROOM,418 ANG MO KIO AVE 10,10 TO 12,74,New Generation,1979,58 years,280000,TECK GHEE HEARTLANDS,30306.42409,38554.32089,1.364946014,103.8540434,746.546322,9022.86939,1518.603683
2020-08,ANG MO KIO,3 ROOM,560 ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,58 years 06 months,257000,HDB-ANG MO KIO,30879.43458,39203.4293,1.370816268,103.8591923,1076.668112,9709.948585,1740.818293
2020-08,ANG MO KIO,3 ROOM,557 ANG MO KIO AVE 10,13 TO 15,68,New Generation,1980,58 years 06 months,268000,CHENG SAN PLACE,30717.37332,39292.93073,1.371625702,103.8577361,929.4154761,9786.809697,1892.571045
2020-08,ANG MO KIO,3 ROOM,571 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,57 years 10 months,278000,CHENG SAN COURT,30399.58709,39119.24886,1.370055013,103.8548806,592.4847118,9594.571128,2028.129436
2020-08,ANG MO KIO,3 ROOM,202 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,55 years 09 months,270000,ANG MO KIO VIEW,29246.1671,38941.37319,1.36844644,103.8445163,584.9799361,9439.674929,1279.176297
2020-08,ANG MO KIO,3 ROOM,127 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,57 years 02 months,260000,HDB-ANG MO KIO,29143.45375,39248.41503,1.371223221,103.8435933,679.1724413,9756.463305,1070.248374
2020-08,ANG MO KIO,3 ROOM,119 ANG MO KIO AVE 3,07 TO 09,82,New Generation,1978,57 years 03 months,346000,HDB-ANG MO KIO,29266.49329,39064.88578,1.369563443,103.8446989,542.3303936,9561.985548,1245.82235
2020-08,ANG MO KIO,3 ROOM,425 ANG MO KIO AVE 3,07 TO 09,73,New Generation,1979,57 years 05 months,322000,CHONG BOON VIEW,30036.28839,39016.12415,1.369122417,103.8516161,246.1582371,9483.228662,1760.377118
2020-08,ANG MO KIO,3 ROOM,233 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,56 years 01 month,265000,KEBUN BARU PALM VIEW,28380.83305,38842.16382,1.36754925,103.8367406,1450.899638,9451.192892,739.3106965
2020-08,ANG MO KIO,3 ROOM,346 ANG MO KIO AVE 3,10 TO 12,88,New Generation,1978,56 years 08 months,365000,TECK GHEE EVERGREEN,29818.86066,38792.03716,1.367095869,103.8496623,316.024107,9259.787829,1467.583226
2020-08,ANG MO KIO,3 ROOM,302 ANG MO KIO AVE 3,10 TO 12,73,New Generation,1978,56 years 07 months,288000,ANG MO KIO 31,29373.47445,38791.36697,1.367089832,103.8456602,536.9675334,9279.445855,1371.718216
2020-08,ANG MO KIO,3 ROOM,425 ANG MO KIO AVE 3,04 TO 06,88,New Generation,1979,57 years 06 months,340000,CHONG BOON VIEW,30036.28839,39016.12415,1.369122417,103.8516161,246.1582371,9483.228662,1760.377118
2020-08,ANG MO KIO,3 ROOM,212 ANG MO KIO AVE 3,07 TO 09,67,New Generation,1977,55 years 08 months,255000,HDB-ANG MO KIO,28923.63355,38980.86416,1.368803594,103.8416181,892.5214329,9511.03942,981.0024273
2020-08,ANG MO KIO,3 ROOM,213 ANG MO KIO AVE 3,07 TO 09,67,New Generation,1976,54 years 08 months,250000,HDB-ANG MO KIO,28883.27646,38866.51607,1.367769472,103.8412554,954.8571199,9401.489161,1018.742099
2020-08,ANG MO KIO,3 ROOM,313 ANG MO KIO AVE 3,07 TO 09,73,New Generation,1978,56 years 05 months,292000,TECK GHEE EVERGREEN,29871.31801,38742.70537,1.366649726,103.8501337,371.0469106,9209.142976,1441.578093
2020-08,ANG MO KIO,3 ROOM,425 ANG MO KIO AVE 3,07 TO 09,88,New Generation,1979,57 years 05 months,378000,CHONG BOON VIEW,30036.28839,39016.12415,1.369122417,103.8516161,246.1582371,9483.228662,1760.377118
2020-08,ANG MO KIO,3 ROOM,564 ANG MO KIO AVE 3,04 TO 06,68,New Generation,1985,63 years 05 months,260000,HDB-ANG MO KIO,30903.00626,39096.40495,1.369848376,103.8594041,1095.778795,9604.771884,1735.412498
2020-08,ANG MO KIO,3 ROOM,118 ANG MO KIO AVE 4,07 TO 09,74,New Generation,1978,56 years 10 months,280000,KEBUN BARU HEIGHTS,28240.06325,39477.60303,1.373295936,103.8354757,1413.493937,10105.66639,138.5365496
2020-08,ANG MO KIO,3 ROOM,114 ANG MO KIO AVE 4,04 TO 06,89,New Generation,1978,56 years 06 months,375000,KEBUN BARU HEIGHTS,28322.98318,39398.39698,1.372579625,103.8362208,1409.461725,10012.80142,248.3166549
2020-08,ANG MO KIO,3 ROOM,631 ANG MO KIO AVE 4,07 TO 09,67,New Generation,1985,63 years 06 months,290000,YIO CHU KANG VIEW,28825.42699,40169.95195,1.379557282,103.8407357,528.7508309,10711.55335,571.4410411
2020-08,ANG MO KIO,3 ROOM,630 ANG MO KIO AVE 4,01 TO 03,82,New Generation,1981,60 years 02 months,265000,YIO CHU KANG VIEW,28862.44376,40278.76965,1.380541389,103.8410683,452.35817,10816.40663,459.5357616
2020-08,ANG MO KIO,3 ROOM,156 ANG MO KIO AVE 4,10 TO 12,68,New Generation,1981,59 years 10 months,290000,YIO CHU KANG GROVE,28737.71367,39720.78684,1.375495196,103.8399475,891.8044834,10272.87906,657.5636257
2020-08,ANG MO KIO,3 ROOM,624 ANG MO KIO AVE 4,04 TO 06,68,New Generation,1980,59 years 01 month,268000,HDB-ANG MO KIO,28743.81013,40391.59144,1.381561712,103.8400023,550.7391131,10942.53653,371.9377215
2020-08,ANG MO KIO,3 ROOM,624 ANG MO KIO AVE 4,13 TO 15,68,New Generation,1980,59 years 01 month,262000,HDB-ANG MO KIO,28743.81013,40391.59144,1.381561712,103.8400023,550.7391131,10942.53653,371.9377215
2020-08,ANG MO KIO,3 ROOM,180 ANG MO KIO AVE 5,07 TO 09,82,New Generation,1981,59 years 09 months,306000,KEBUN BARU LINK 2,28561.163,39851.47146,1.376677065,103.838361,925.6835596,10426.65133,557.6781713
2020-08,ANG MO KIO,3 ROOM,602 ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,58 years 11 months,250000,YIO CHU KANG GREEN,28228.09995,40297.28315,1.38070883,103.8353682,1072.383684,10920.89767,785.8091719
2020-08,ANG MO KIO,3 ROOM,605 ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,58 years 10 months,230000,YIO CHU KANG GREEN,28352.65007,40182.58904,1.379671577,103.8364874,969.6473105,10787.06679,704.4804166
2020-08,ANG MO KIO,3 ROOM,643 ANG MO KIO AVE 5,07 TO 09,89,New Generation,1980,59 years 04 months,340000,ANG MO KIO 61,28805.56635,39943.16133,1.377506269,103.8405572,680.060261,10486.96957,800.610913
2020-08,ANG MO KIO,3 ROOM,503 ANG MO KIO AVE 5,04 TO 06,82,New Generation,1981,59 years 05 months,351000,CHENG SAN CREST,29738.69884,39717.0801,1.375461631,103.848942,619.2684435,10192.75345,1335.976712
2020-08,ANG MO KIO,3 ROOM,538 ANG MO KIO AVE 5,07 TO 09,68,New Generation,1980,58 years 06 months,265000,CHENG SAN VIEW,30229.00461,39731.65041,1.375593367,103.8533478,758.2404852,10205.71203,1684.071252
2020-08,ANG MO KIO,3 ROOM,503 ANG MO KIO AVE 5,04 TO 06,68,New Generation,1981,59 years 05 months,293000,CHENG SAN CREST,29738.69884,39717.0801,1.375461631,103.848942,619.2684435,10192.75345,1335.976712
2020-08,ANG MO KIO,3 ROOM,180 ANG MO KIO AVE 5,07 TO 09,68,New Generation,1981,59 years 08 months,270000,KEBUN BARU LINK 2,28561.163,39851.47146,1.376677065,103.838361,925.6835596,10426.65133,557.6781713
2020-08,ANG MO KIO,3 ROOM,611 ANG MO KIO AVE 5,07 TO 09,82,New Generation,1980,58 years 10 months,316000,YIO CHU KANG GREEN,28437.72902,40030.04845,1.378292053,103.8372519,939.2018768,10622.3691,604.3281377
2020-08,ANG MO KIO,3 ROOM,637 ANG MO KIO AVE 6,07 TO 09,82,New Generation,1980,59 years 02 months,360000,YIO CHU KANG HEIGHTS,29003.37144,40258.92008,1.380361872,103.8423346,329.5784414,10782.34833,494.4161099
2020-08,ANG MO KIO,3 ROOM,639 ANG MO KIO AVE 6,01 TO 03,68,New Generation,1980,59 years 02 months,270000,YIO CHU KANG HEIGHTS,29017.14349,40209.73419,1.379917052,103.8424584,344.4125252,10731.75719,545.8028638
2020-08,ANG MO KIO,3 ROOM,505 ANG MO KIO AVE 8,04 TO 06,68,New Generation,1980,59 years 01 month,280000,CHENG SAN CREST,29881.46508,39650.52592,1.37485973,103.8502249,553.4550927,10122.82591,1480.476423
2020-08,ANG MO KIO,3 ROOM,507 ANG MO KIO AVE 8,01 TO 03,67,New Generation,1980,58 years 10 months,256000,CHENG SAN CREST,29873.96276,39603.16322,1.374431399,103.8501575,505.1994121,10075.25414,1511.038879
2020-08,ANG MO KIO,3 ROOM,623 ANG MO KIO AVE 9,10 TO 12,82,New Generation,1980,59 years 01 month,355000,YIO CHU KANG HEIGHTS,28839.05227,40512.13323,1.382651847,103.8408581,465.8770579,11052.49623,228.1700664
2020-08,ANG MO KIO,3 ROOM,650 ANG MO KIO ST 61,19 TO 21,67,Model A,2015,94 years 04 months,472500,YIO CHU KANG VISTA,29049.06005,39963.60871,1.37769118,103.8427452,514.5820481,10482.08006,794.3310899
2020-08,ANG MO KIO,4 ROOM,308B ANG MO KIO AVE 1,10 TO 12,94,Model A,2012,91 years 02 months,7.00E+05,TECK GHEE VISTA,29248.59465,38589.71206,1.365266142,103.8445381,762.8773414,9086.675288,1167.156113
2020-08,ANG MO KIO,4 ROOM,307A ANG MO KIO AVE 1,04 TO 06,95,Model A,2012,91 years 02 months,598888,TECK GHEE VISTA,29238.2351,38668.87349,1.365982051,103.844445,719.176504,9166.962203,1247.206745
2020-08,ANG MO KIO,4 ROOM,310B ANG MO KIO AVE 1,10 TO 12,87,Model A,2012,91 years 01 month,510000,TECK GHEE VISTA,29216.53958,38521.25802,1.36464707,103.84425,833.7774372,9020.807321,1100.046673
2020-08,ANG MO KIO,4 ROOM,310B ANG MO KIO AVE 1,07 TO 09,87,Model A,2012,91 years 01 month,660000,TECK GHEE VISTA,29216.53958,38521.25802,1.36464707,103.84425,833.7774372,9020.807321,1100.046673
2020-08,ANG MO KIO,4 ROOM,421 ANG MO KIO AVE 10,04 TO 06,99,New Generation,1979,58 years,390000,TECK GHEE HEARTLANDS,30186.63113,38602.77521,1.365384226,103.852967,632.7018289,9068.624634,1479.97389
2020-08,ANG MO KIO,4 ROOM,415 ANG MO KIO AVE 10,07 TO 09,92,New Generation,1979,58 years,418000,TECK GHEE HEARTLANDS,30354.39418,38490.83879,1.364371901,103.8544744,826.1706379,8960.657782,1505.08082
2020-08,ANG MO KIO,4 ROOM,467 ANG MO KIO AVE 10,13 TO 15,92,New Generation,1979,58 years 03 months,415000,TECK GHEE HORIZON,30613.60208,38603.53536,1.365391066,103.8568036,951.7338985,9087.298926,1755.813663
2020-08,ANG MO KIO,4 ROOM,432 ANG MO KIO AVE 10,10 TO 12,92,New Generation,1979,57 years 05 months,420000,CHONG BOON RISE,30257.11206,38926.28962,1.36830997,103.8536003,484.7678458,9395.783422,1787.641902
2020-08,ANG MO KIO,4 ROOM,438 ANG MO KIO AVE 10,04 TO 06,92,New Generation,1979,57 years 05 months,380000,CHONG BOON RISE,30291.19929,38778.2132,1.366970817,103.8539066,585.5903274,9247.697791,1684.054595
2020-08,ANG MO KIO,4 ROOM,428 ANG MO KIO AVE 3,10 TO 12,92,New Generation,1978,57 years 03 months,428000,CHONG BOON HEIGHTS,30347.47537,38995.8525,1.368939065,103.8544123,551.4238584,9468.493423,1895.746253
2020-08,ANG MO KIO,4 ROOM,346 ANG MO KIO AVE 3,10 TO 12,98,New Generation,1978,56 years 08 months,470000,TECK GHEE EVERGREEN,29818.86066,38792.03716,1.367095869,103.8496623,316.024107,9259.787829,1467.583226
2020-08,ANG MO KIO,4 ROOM,120 ANG MO KIO AVE 3,07 TO 09,83,New Generation,1978,57 years 03 months,380000,HDB-ANG MO KIO,29254.90174,39118.39888,1.370047397,103.8445948,552.5012578,9616.606683,1215.873095
2020-08,ANG MO KIO,4 ROOM,209 ANG MO KIO AVE 3,01 TO 03,91,New Generation,1977,55 years 09 months,325000,HDB-ANG MO KIO,29109.08951,38999.35323,1.368970796,103.8432845,706.3405879,9509.991063,1130.658449
2020-08,ANG MO KIO,4 ROOM,429 ANG MO KIO AVE 3,07 TO 09,92,New Generation,1978,57 years 02 months,440000,CHONG BOON HEIGHTS,30237.20911,39012.48131,1.369089458,103.8534215,440.080227,9482.049804,1851.058976
2020-08,ANG MO KIO,4 ROOM,573 ANG MO KIO AVE 3,04 TO 06,92,New Generation,1979,57 years 10 months,405000,CHENG SAN COURT,30393.19244,39175.24693,1.37056144,103.8548231,590.09305,9650.652195,2072.189998
2020-08,ANG MO KIO,4 ROOM,346 ANG MO KIO AVE 3,04 TO 06,98,New Generation,1978,56 years 08 months,478000,TECK GHEE EVERGREEN,29818.86066,38792.03716,1.367095869,103.8496623,316.024107,9259.787829,1467.583226
2020-08,ANG MO KIO,4 ROOM,229 ANG MO KIO AVE 3,10 TO 12,92,New Generation,1978,56 years 05 months,380000,KEBUN BARU PALM VIEW,28546.43276,39011.03513,1.369076459,103.8382287,1264.421796,9591.850107,677.2071757
