town,flat_type,floor_area_sqm,remaining_lease_months,resale_price,distanceWithMrt,distanceWithRaffles,distanceWithGdPri
ANG MO KIO,3 ROOM,68,714,274000,881.0033753,8703.096482,1041.995726
ANG MO KIO,3 ROOM,68,714,315000,985.4905776,8617.203081,1048.316784
ANG MO KIO,3 ROOM,70,1093,5.00E+05,689.4791208,9113.711978,1199.433818
ANG MO KIO,3 ROOM,82,713,315000,881.0033753,8703.096482,1041.995726
ANG MO KIO,3 ROOM,67,696,235000,1072.597799,8872.72856,1542.266971
ANG MO KIO,3 ROOM,68,703,260000,714.890059,10083.19816,1826.515934
ANG MO KIO,3 ROOM,68,713,250000,1045.625977,10010.66955,1836.557769
ANG MO KIO,3 ROOM,67,694,255000,1043.165184,8647.428355,1243.410529
ANG MO KIO,3 ROOM,82,701,310000,730.4780628,9792.073298,2100.284211
ANG MO KIO,3 ROOM,67,702,258000,1081.90563,9756.501907,1735.194497
ANG MO KIO,3 ROOM,68,701,261000,931.0806752,9718.096454,1885.848306
ANG MO KIO,3 ROOM,67,702,249000,730.4780628,9792.073298,2100.284211
ANG MO KIO,3 ROOM,67,696,262000,760.2641656,9256.846104,1811.649513
ANG MO KIO,3 ROOM,68,702,230000,931.0806752,9718.096454,1885.848306
ANG MO KIO,3 ROOM,74,696,280000,746.546322,9022.86939,1518.603683
ANG MO KIO,3 ROOM,67,702,257000,1076.668112,9709.948585,1740.818293
ANG MO KIO,3 ROOM,68,702,268000,929.4154761,9786.809697,1892.571045
ANG MO KIO,3 ROOM,67,694,278000,592.4847118,9594.571128,2028.129436
ANG MO KIO,3 ROOM,67,669,270000,584.9799361,9439.674929,1279.176297
ANG MO KIO,3 ROOM,67,686,260000,679.1724413,9756.463305,1070.248374
ANG MO KIO,3 ROOM,82,687,346000,542.3303936,9561.985548,1245.82235
ANG MO KIO,3 ROOM,73,689,322000,246.1582371,9483.228662,1760.377118
ANG MO KIO,3 ROOM,67,673,265000,1450.899638,9451.192892,739.3106965
ANG MO KIO,3 ROOM,88,680,365000,316.024107,9259.787829,1467.583226
ANG MO KIO,3 ROOM,73,679,288000,536.9675334,9279.445855,1371.718216
ANG MO KIO,3 ROOM,88,690,340000,246.1582371,9483.228662,1760.377118
